lola	3.01214842545108
CG31368	2.806311667178
Kr-h1	2.72615714023774
svp	2.70554834710955
mub	2.64745532171546
CG5149	2.5248366059949
run	2.47586765922924
tna	2.43024546124297
CG6954	2.42354664612804
CG11153	2.30449548648093
Awd	2.22951661362331
CG6919	2.13239084748289
CG14888	2.06698382687314
Psa	-2.02762104447232
rux	-2.09298812042046
fs(1)h	-2.14104421598716
CG1124	-2.15495170767336
Fur1	-2.15882172026213
S	-2.25390288543551
corto	-2.26184696495971
oc	-2.30166333020137
CG14889	-2.43928774327066
zfh2	-2.58839191578067
HmgZ	-3.63279617834037
btd	-3.76274941034759
brat	-3.77158630338164
