Psa	3.85289908747006
vnd	3.64569585507463
ct	3.20099018731361
fs(1)h	3.14893215463257
btd	3.12292776675935
zfh2	2.84206544957174
RhoBTB	2.60223270812433
pros	2.56790148021494
CG1124	2.54754537929952
S	2.54242322740185
oc	2.51110827431386
Fur1	2.43003804114927
PHDP	2.3040098655437
CG31241	2.28021875859062
rux	2.22322147868055
CG14889	2.17521378431384
CG31163	2.16058794530145
HmgZ	2.07945790479631
svp	-2.04041157013508
TER94	-2.18074007124187
corto	-2.34805605180196
olf413	-2.44043700058667
brat	-2.72564011017977
CG31368	-2.72929046084956
mub	-2.9554891237748
Awd	-3.14132775338133
lola	-3.8881615792709
